auto;cod_insumo;nombre_insumo;cod_siesa;id_insumo;id_tipo_insumo_p;und_negocios
1;4474;AIR OPTIX AQUA +6.00;LCI-0000115;150;4;U04
2;4499;AIR OPTIX AQUA -0.25;LCI-0000140;150;4;U04
3;4503;AIR OPTIX AQUA -1.25;LCI-0000144;150;4;U04
4;4504;AIR OPTIX AQUA -1.50;LCI-0000145;150;4;U04
5;4505;AIR OPTIX AQUA -1.75;LCI-0000146;150;4;U04
6;9765;AIR OPTIX AQUA -10.00;LCI-0000171;150;4;U04
7;4506;AIR OPTIX AQUA -2.00;LCI-0000147;150;4;U04
8;4507;AIR OPTIX AQUA -2.25;LCI-0000148;150;4;U04
9;4508;AIR OPTIX AQUA -2.50;LCI-0000149;150;4;U04
10;4512;AIR OPTIX AQUA -3.50;LCI-0000153;150;4;U04
11;4519;AIR OPTIX AQUA -5.25;LCI-0000160;150;4;U04
12;;AIR OPTIX AQUA -9.50;LCI-0000170;150;4;U04
13;4554;AIR OPTIX ASTIGMATISMO HYDRAGLYDE +0.00;LCI-0000025;150;4;U04
14;4552;AIR OPTIX ASTIGMATISMO HYDRAGLYDE +0.50;LCI-0000023;150;4;U04
15;4550;AIR OPTIX ASTIGMATISMO HYDRAGLYDE +1.00;LCI-0000021;150;4;U04
16;4549;AIR OPTIX ASTIGMATISMO HYDRAGLYDE +1.25;LCI-0000020;150;4;U04
17;4547;AIR OPTIX ASTIGMATISMO HYDRAGLYDE +1.75;LCI-0000018;150;4;U04
18;4542;AIR OPTIX ASTIGMATISMO HYDRAGLYDE +3.00;LCI-0000013;150;4;U04
19;4538;AIR OPTIX ASTIGMATISMO HYDRAGLYDE +4.00;LCI-0000009;150;4;U04
20;4534;AIR OPTIX ASTIGMATISMO HYDRAGLYDE +5.00;LCI-0000005;150;4;U04
21;4533;AIR OPTIX ASTIGMATISMO HYDRAGLYDE +5.25;LCI-0000004;150;4;U04
22;4530;AIR OPTIX ASTIGMATISMO HYDRAGLYDE +6.00;LCI-0000001;150;4;U04
23;4555;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -0.25;LCI-0000026;150;4;U04
24;4557;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -0.75;LCI-0000028;150;4;U04
25;4558;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -1.00;LCI-0000029;150;4;U04
26;4559;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -1.25;LCI-0000030;150;4;U04
27;4560;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -1.50;LCI-0000031;150;4;U04
28;4561;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -1.75;LCI-0000032;150;4;U04
29;4562;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -2.00;LCI-0000033;150;4;U04
30;4563;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -2.25;LCI-0000034;150;4;U04
31;4564;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -2.50;LCI-0000035;150;4;U04
32;4565;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -2.75;LCI-0000036;150;4;U04
33;4566;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -3.00;LCI-0000037;150;4;U04
34;4567;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -3.25;LCI-0000038;150;4;U04
35;4568;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -3.50;LCI-0000039;150;4;U04
36;4569;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -3.75;LCI-0000040;150;4;U04
37;4570;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -4.00;LCI-0000041;150;4;U04
38;4571;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -4.25;LCI-0000042;150;4;U04
39;4572;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -4.50;LCI-0000043;150;4;U04
40;4574;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -5.00;LCI-0000045;150;4;U04
41;4576;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -5.50;LCI-0000047;150;4;U04
42;4577;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -5.75;LCI-0000048;150;4;U04
43;4579;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -6.50;LCI-0000050;150;4;U04
44;4580;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -7.00;LCI-0000051;150;4;U04
45;4583;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -8.50;LCI-0000054;150;4;U04
46;4584;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -9.00;LCI-0000055;150;4;U04
47;9696;AIR OPTIX ASTIGMATISMO HYDRAGLYDE -9.50;LCI-0000056;150;4;U04
48;10044;AIR OPTIX COLORS BRILLANT BLUE +1.00;LCI-0000363;150;4;U04
49;10053;AIR OPTIX COLORS BRILLANT BLUE -1.25;LCI-0000372;150;4;U04
50;;AIR OPTIX COLORS BRILLANT BLUE -10.00;LCI-0000399;150;4;U04
51;;AIR OPTIX COLORS BRILLANT BLUE -8.50;LCI-0000396;150;4;U04
52;;AIR OPTIX COLORS BRILLANT BLUE -9.00;LCI-0000397;150;4;U04
53;;AIR OPTIX COLORS BRILLANT BLUE -9.50;LCI-0000398;150;4;U04
54;10164;AIR OPTIX COLORS PURE HAZEL -0.50;LCI-0000255;150;4;U04
55;4667;AIR OPTIX HYDRAGLYDE +2.75;LCI-0000071;150;4;U04
56;4654;AIR OPTIX HYDRAGLYDE +6.00;LCI-0000058;150;4;U04
57;4681;AIR OPTIX HYDRAGLYDE -0.75;LCI-0000085;150;4;U04
58;4682;AIR OPTIX HYDRAGLYDE -1.00;LCI-0000086;150;4;U04
59;4683;AIR OPTIX HYDRAGLYDE -1.25;LCI-0000087;150;4;U04
60;4684;AIR OPTIX HYDRAGLYDE -1.50;LCI-0000088;150;4;U04
61;4685;AIR OPTIX HYDRAGLYDE -1.75;LCI-0000089;150;4;U04
62;4686;AIR OPTIX HYDRAGLYDE -2.00;LCI-0000090;150;4;U04
63;4687;AIR OPTIX HYDRAGLYDE -2.25;LCI-0000091;150;4;U04
64;4688;AIR OPTIX HYDRAGLYDE -2.50;LCI-0000092;150;4;U04
65;4689;AIR OPTIX HYDRAGLYDE -2.75;LCI-0000093;150;4;U04
66;4691;AIR OPTIX HYDRAGLYDE -3.25;LCI-0000095;150;4;U04
67;4692;AIR OPTIX HYDRAGLYDE -3.50;LCI-0000096;150;4;U04
68;4694;AIR OPTIX HYDRAGLYDE -4.00;LCI-0000098;150;4;U04
69;4695;AIR OPTIX HYDRAGLYDE -4.25;LCI-0000099;150;4;U04
70;4697;AIR OPTIX HYDRAGLYDE -4.75;LCI-0000101;150;4;U04
71;4704;AIR OPTIX HYDRAGLYDE -6.50;LCI-0000107;150;4;U04
72;4708;AIR OPTIX HYDRAGLYDE -7.50;LCI-0000109;150;4;U04
73;4712;AIR OPTIX HYDRAGLYDE -8.50;LCI-0000111;150;4;U04
74;4714;AIR OPTIX HYDRAGLYDE -9.00;LCI-0000112;150;4;U04
75;4609;AIR OPTIX MULTIFOCAL +0.00;LCI-0000196;150;4;U04
76;4607;AIR OPTIX MULTIFOCAL +0.50;LCI-0000194;150;4;U04
77;4606;AIR OPTIX MULTIFOCAL +0.75;LCI-0000193;150;4;U04
78;4605;AIR OPTIX MULTIFOCAL +1.00;LCI-0000192;150;4;U04
79;4604;AIR OPTIX MULTIFOCAL +1.25;LCI-0000191;150;4;U04
80;4603;AIR OPTIX MULTIFOCAL +1.50;LCI-0000190;150;4;U04
81;4602;AIR OPTIX MULTIFOCAL +1.75;LCI-0000189;150;4;U04
82;4601;AIR OPTIX MULTIFOCAL +2.00;LCI-0000188;150;4;U04
83;4600;AIR OPTIX MULTIFOCAL +2.25;LCI-0000187;150;4;U04
84;4599;AIR OPTIX MULTIFOCAL +2.50;LCI-0000186;150;4;U04
85;4598;AIR OPTIX MULTIFOCAL +2.75;LCI-0000185;150;4;U04
86;4597;AIR OPTIX MULTIFOCAL +3.00;LCI-0000184;150;4;U04
87;4596;AIR OPTIX MULTIFOCAL +3.25;LCI-0000183;150;4;U04
88;4593;AIR OPTIX MULTIFOCAL +4.00;LCI-0000180;150;4;U04
89;4610;AIR OPTIX MULTIFOCAL -0.25;LCI-0000197;150;4;U04
90;4973;DAILIES AQUA COMFORT PLUS ESFERICO -1.50;LCI-0000519;150;4;U04
91;4977;DAILIES AQUA COMFORT PLUS ESFERICO -2.50;LCI-0000520;150;4;U04
92;;DAILIES AQUA COMFORT PLUS ESFERICO -2.75;LCI-0000514;150;4;U04
93;;DAILIES AQUA COMFORT PLUS MULTIFOC +1.75;LCI-0000521;150;4;U04
94;;FRESHLOOK BROWN -0.75;LCI-0000516;150;4;U04
95;;FRESHLOOK BROWN -1.00;LCI-0000515;150;4;U04
96;;FRESHLOOK HONEY +0.50;LCI-0000517;150;4;U04
97;;FRESHLOOK HONEY +2.50;LCI-0000518;150;4;U04
98;;LC) 3WGP / WO2 DISEÑO SIE;LC-0000003;150;4;U04
99;;LC) 3WGP DISEÑO FIBA;LC-0000002;150;4;U04
100;;LC) 3WGP TORICOS POSTE/ ANTE/CURV INVER;LC-0000077;150;4;U04
101;;LC) ACUVUE OASYS CAJA 6 UND;LC-0000040;150;4;U04
102;;LC) AIR OPTIX AQUA CAJA 6 UND;LC-0000004;150;4;U04
103;;LC) AIR OPTIX ASTIGMATISMO CAJA 6 UND;LC-0000005;150;4;U04
104;;LC) AIR OPTIX ASTIGMATISMO HYDRA CJ6 UND;LC-0000060;150;4;U04
105;;LC) AIR OPTIX ASTIGMATISMO HYDRAG -11;LC-0000081;150;4;U04
106;;LC) AIR OPTIX ASTIGMATISMO HYDRAG -12;LC-0000082;150;4;U04
107;;LC) AIR OPTIX COLORS NEUTRO Y FORMULADO;LC-0000006;150;4;U04
108;;LC) AIR OPTIX MULTIFOCAL;LC-0000007;150;4;U04
109;;LC) AIR OPTIX PLUS HYDRAGLYDE;LC-0000009;150;4;U04
110;;LC) BIOFINITY TORIC;LC-0000032;150;4;U04
111;;LC) BIOFINITY TORIC XR;LC-0000033;150;4;U04
112;;LC) DAILIES AQUA COMFORT PLUS ESFER CJ30;LC-0000012;150;4;U04
113;;LC) DAILIES AQUA COMFORT PLUS MULTI CJ30;LC-0000013;150;4;U04
114;;LC) ECOLENS PLUS;LC-0000011;150;4;U04
115;;LC) FRESHLOOK COLORBLENDS FORMULADO;LC-0000018;150;4;U04
116;;LC) HIDROSOFT TORICO ALTO;LC-0000023;150;4;U04
117;;LC) O2 OPTIX CAJA 6 UND;LC-0000028;150;4;U04
118;;LC) PROCLEAR TORIC XR CAJA 6 UND;LC-0000046;150;4;U04
119;;LC) SEESOFT DESECHABLE CAJA 3 UND;LC-0000035;150;4;U04
120;;LC) SEESOFT DESECHABLE CAJA 6 UND;LC-0000036;150;4;U04
